date,resting_hr,hrv_ms,day_strain,sleep_efficiency_pct,asleep_min,sleep_debt_min,resting_hr_ma7,elevated_hr,low_hrv,high_strain_flag,poor_sleep,short_sleep,sleep_debt_flag,any_anomaly
2024-10-26,60.0,68.0,4.1,88.0,397.0,99.0,54.285714285714285,False,False,False,False,False,True,True
2024-10-28,,,13.1,83.0,389.0,113.0,54.5,False,False,False,True,False,True,True
2024-10-28,54.0,100.0,6.4,83.0,389.0,113.0,54.666666666666664,False,False,False,True,False,True,True
2024-10-29,52.0,97.0,5.6,88.0,404.0,106.0,54.666666666666664,False,False,False,False,False,True,True
2024-10-30,53.0,84.0,6.0,88.0,419.0,109.0,54.833333333333336,False,False,False,False,False,True,True
2024-10-30,53.0,84.0,6.0,97.0,76.0,101.0,54.5,False,False,False,False,True,True,True
2024-11-01,50.0,103.0,4.5,90.0,370.0,101.0,53.666666666666664,False,False,False,False,False,True,True
2024-11-02,60.0,81.0,20.5,90.0,513.0,78.0,53.666666666666664,False,False,True,False,False,True,True
2024-11-03,75.0,44.0,7.2,88.0,124.0,20.0,56.714285714285715,False,False,False,False,True,False,True
2024-11-05,53.0,94.0,5.1,87.0,345.0,127.0,56.57142857142857,False,False,False,False,True,True,True
2024-11-05,53.0,94.0,5.1,93.0,472.0,126.0,56.714285714285715,False,False,False,False,False,True,True
2024-11-05,55.0,76.0,5.9,87.0,345.0,127.0,57.0,False,False,False,False,True,True,True
2024-11-05,55.0,76.0,5.9,93.0,472.0,126.0,57.285714285714285,False,False,False,False,False,True,True
2024-11-07,53.0,81.0,6.5,90.0,504.0,77.0,57.714285714285715,False,False,False,False,False,True,True
2024-11-08,55.0,80.0,11.1,92.0,453.0,26.0,57.0,False,False,False,False,False,False,False
2024-11-09,59.0,79.0,7.7,92.0,417.0,26.0,54.714285714285715,False,False,False,False,False,False,False
2024-11-10,55.0,77.0,12.1,92.0,387.0,57.0,55.0,False,False,False,False,False,False,False
2024-11-11,59.0,88.0,11.2,89.0,398.0,69.0,55.857142857142854,False,False,False,False,False,True,True
2024-11-12,78.0,35.0,7.5,86.0,459.0,77.0,59.142857142857146,False,True,False,False,False,True,True
2024-11-13,56.0,93.0,6.7,87.0,410.0,63.0,59.285714285714285,False,False,False,False,False,True,True
2024-11-15,,,10.7,,,,60.333333333333336,False,False,False,False,False,False,False
2024-11-17,79.0,30.0,9.1,83.0,410.0,61.0,64.33333333333333,False,True,False,True,False,True,True
2024-11-18,58.0,74.0,6.2,87.0,341.0,64.0,64.16666666666667,False,False,False,False,True,True,True
2024-11-19,56.0,94.0,8.8,90.0,366.0,98.0,64.33333333333333,False,False,False,False,False,True,True
2024-11-20,54.0,83.0,1.5,89.0,343.0,99.0,63.5,False,False,False,False,True,True,True
2024-11-20,54.0,83.0,1.5,93.0,424.0,114.0,59.5,False,False,False,False,False,True,True
2024-11-20,55.0,82.0,5.5,89.0,343.0,99.0,59.333333333333336,False,False,False,False,True,True,True
2024-11-20,55.0,82.0,5.5,93.0,424.0,114.0,58.714285714285715,False,False,False,False,False,True,True
2024-11-22,,,5.4,89.0,214.0,101.0,55.333333333333336,False,False,False,False,True,True,True
2024-11-22,59.0,67.0,0.1,89.0,214.0,101.0,55.5,False,False,False,False,True,True,True
2024-11-29,,,5.2,,,,55.4,False,False,False,False,False,False,False
2024-11-30,55.0,86.0,4.5,94.0,420.0,127.0,55.6,False,False,False,False,False,True,True
2024-12-03,,,8.2,,,,56.0,False,False,False,False,False,False,False
2024-12-04,59.0,76.0,4.7,75.0,473.0,112.0,57.0,False,False,False,True,False,True,True
2024-12-05,53.0,102.0,5.3,92.0,424.0,70.0,56.5,False,False,False,False,False,True,True
2024-12-06,56.0,90.0,5.5,91.0,438.0,72.0,56.4,False,False,False,False,False,True,True
2024-12-07,54.0,73.0,5.0,92.0,403.0,64.0,55.4,False,False,False,False,False,True,True
2024-12-07,54.0,73.0,5.0,94.0,133.0,64.0,55.166666666666664,False,False,False,False,True,True,True
2024-12-08,54.0,92.0,13.5,81.0,265.0,64.0,55.0,False,False,False,True,True,True,True
2024-12-08,54.0,92.0,13.5,86.0,88.0,66.0,54.857142857142854,False,False,False,False,True,True,True
2024-12-08,54.0,92.0,13.5,91.0,387.0,66.0,54.142857142857146,False,False,False,False,False,True,True
2024-12-08,60.0,85.0,4.6,81.0,265.0,64.0,55.142857142857146,False,False,False,True,True,True,True
2024-12-08,60.0,85.0,4.6,86.0,88.0,66.0,55.714285714285715,False,False,False,False,True,True,True
