Date,resting_hr,hrv_ms,day_strain,sleep_efficiency_pct,asleep_min,sleep_debt_min,DateTS,resting_hr_mean,resting_hr_std,resting_hr_z,day_strain_mean,day_strain_std,day_strain_z,sleep_debt_min_mean,sleep_debt_min_std,sleep_debt_min_z,hrv_ms_mean,hrv_ms_std,hrv_ms_z,sleep_efficiency_pct_mean,sleep_efficiency_pct_std,sleep_efficiency_pct_z,asleep_min_mean,asleep_min_std,asleep_min_z,resting_hr_anomaly,day_strain_anomaly,sleep_debt_min_anomaly,hrv_ms_anomaly,sleep_efficiency_pct_anomaly,asleep_min_anomaly,any_anomaly
2025-05-12,50.0,114.0,12.9,94.0,379.0,64.0,2025-05-12,58.07692307692308,7.921085136746761,-1.0196738120454445,10.614285714285714,2.991746889452626,0.7640065721376864,113.3076923076923,22.02038682442768,-2.2391837482615995,90.84615384615384,26.866478971158298,0.8618117088846021,93.6923076923077,2.529315302100062,0.12165043537151464,346.53846153846155,98.98789099734657,0.3279344385911667,False,False,False,False,False,False,False
2025-05-13,52.0,99.0,9.9,95.0,465.0,127.0,2025-05-13,57.61538461538461,8.098749507778615,-0.6933644027378792,10.278571428571428,2.765217635454501,-0.13690474981699036,117.07692307692308,19.525460039230353,0.5082121959298053,90.61538461538461,26.77541926698956,0.31314599786500724,93.76923076923077,2.554533426213617,0.4817980528810298,356.7692307692308,104.10103573464403,1.0396704361967348,False,False,False,False,False,False,False
2025-05-13,52.0,99.0,9.9,92.0,355.0,96.0,2025-05-13,57.15384615384615,8.24465638910196,-0.6251135172423516,10.442857142857145,2.6601660693429507,-0.20406889220687932,115.07692307692308,20.295572335123943,-0.9399549203107792,89.76923076923077,26.281025621012326,0.3512332191247894,93.61538461538461,2.599309573023548,-0.6214668049352731,358.0,103.96794377755734,-0.028855047921488124,False,False,False,False,False,False,False
2025-05-13,59.0,79.0,6.8,95.0,465.0,127.0,2025-05-13,57.61538461538461,8.160253892480574,0.1696779785113387,10.278571428571428,2.815937764671922,-1.2353154505801758,115.07692307692308,20.295572335123943,0.5874718251942367,87.6923076923077,25.956324262706538,-0.3348820736068784,93.76923076923077,2.618964367641533,0.4699450080252815,359.53846153846155,105.49930124935688,0.999642056512496,False,False,False,False,False,False,False
2025-05-13,59.0,79.0,6.8,92.0,355.0,96.0,2025-05-13,57.714285714285715,7.84884676907355,0.16380932429211456,10.157142857142858,2.9327630148204795,-1.1447030803981808,113.71428571428571,20.154894696320618,-0.8789073811196615,87.07142857142857,25.04600163303909,-0.3222641557597463,93.64285714285714,2.560262692566242,-0.6416752263848539,359.2142857142857,101.36770732295408,-0.04157424317449689,False,False,False,False,False,False,False
2025-05-14,66.0,83.0,9.0,86.0,414.0,83.0,2025-05-14,58.857142857142854,7.803915613401997,0.9152914378764441,9.814285714285715,2.7489458519045624,-0.2962174441237358,112.71428571428571,21.35930196003074,-1.391163707966182,84.07142857142857,22.543852260101282,-0.04752641913488816,93.5,2.9286384339697045,-2.5609170162511035,364.07142857142856,102.310586177365,0.48800982668612203,False,False,False,False,True,False,True
2025-05-16,52.0,87.0,13.1,98.0,384.0,92.0,2025-05-16,58.07142857142857,7.907778893783493,-0.767779252933017,9.935714285714285,2.859695288462942,1.1065114968897567,110.21428571428571,21.605478548199216,-0.8430401425106986,84.57142857142857,22.52422383436682,0.10782042686265556,93.85714285714286,3.158800718314394,1.3115284920752643,368.0,101.91550044408952,0.1569928021771089,False,False,False,False,False,False,False
2025-05-17,,,6.6,96.0,121.0,115.0,2025-05-17,57.69230769230769,8.09716632928479,,9.592857142857143,2.956730076833655,-1.0122185877928287,109.35714285714286,21.120923431360666,0.2671690544779183,84.92307692307692,23.403922529003307,,94.07142857142857,3.19769834807418,0.6031123697871366,344.0,117.68667658725796,-1.8948619033749179,False,False,False,False,False,False,False
2025-05-18,55.0,79.0,7.3,94.0,435.0,54.0,2025-05-18,57.76923076923077,8.063847780411146,-0.3434130758219215,9.314285714285715,2.9773134877596625,-0.6765447181047111,104.14285714285714,25.07176512719838,-1.999973152606679,83.3076923076923,22.997770237512913,-0.1873091288070091,94.14285714285714,3.183059555187393,-0.04488044925968358,351.57142857142856,120.03378645243966,0.6950424034288705,False,False,False,False,False,False,False
2025-05-18,55.0,79.0,7.3,93.0,376.0,115.0,2025-05-18,57.84615384615385,8.02959270289345,-0.3544580592647296,9.035714285714286,2.9697467239472806,-0.5844654265355119,103.28571428571429,24.42706119616752,0.47956181139479925,81.6923076923077,22.458794177280197,-0.11987765999615822,94.14285714285714,3.183059555187393,-0.3590435940774776,345.7857142857143,116.46008135601895,0.2594389885571222,False,False,False,False,False,False,False
2025-05-18,54.0,84.0,9.4,94.0,435.0,54.0,2025-05-18,57.69230769230769,8.086868114260097,-0.4565806737711981,8.642857142857142,2.453165705373768,0.3086391006870441,100.28571428571429,27.744517327901676,-1.6682832769689742,82.15384615384616,22.4382343105325,0.08227714447599184,94.07142857142857,3.173551413074977,-0.022507456830314743,353.85714285714283,118.5812653141991,0.6842805811513043,False,False,False,False,False,False,False
2025-05-18,54.0,84.0,9.4,93.0,376.0,115.0,2025-05-18,56.23076923076923,6.685230563885487,-0.3336862071474615,8.67142857142857,2.4599651565476637,0.2961714423605548,99.42857142857143,27.031930651088715,0.5760383441499184,85.61538461538461,18.319108700745858,-0.0881803062459498,93.71428571428571,2.9724005172867183,-0.24030601196965412,374.85714285714283,89.1022378574678,0.012826357343407426,False,False,False,False,False,False,False
2025-05-20,54.0,95.0,8.8,93.0,424.0,119.0,2025-05-20,54.76923076923077,4.399883448339916,-0.1748298058942899,8.657142857142857,2.4584905580814875,0.05810766382142399,98.85714285714286,26.483252016371257,0.7605885081788804,89.92307692307692,11.90561169128192,0.4264310989279737,93.78571428571429,2.939873661036929,-0.26726124191240275,385.85714285714283,84.55117443833095,0.4511215532633128,False,False,False,False,False,False,False
2025-05-20,54.0,95.0,8.8,95.0,288.0,59.0,2025-05-20,55.07692307692308,4.172559934890997,-0.2580964908179835,9.0,2.0617393702331133,-0.09700547163601286,94.0,27.151993835274144,-1.2890397741078676,88.92307692307692,10.750670819856873,0.5652598966846595,93.57142857142857,2.709365117635645,0.5272716546295865,376.57142857142856,87.82475057286977,-1.0085019085586728,False,False,False,False,False,False,False
2025-05-20,50.0,93.0,9.6,93.0,424.0,119.0,2025-05-20,55.07692307692308,4.172559934890997,-1.2167405995704907,8.764285714285714,1.746031607281602,0.4786364016716797,97.92857142857143,26.447231309837317,0.7967347630672719,87.3076923076923,7.856893102923584,0.7244985540390719,93.5,2.7103789119153237,-0.18447605159629457,379.7857142857143,88.73918445164362,0.49824985419354717,False,False,False,False,False,False,False
2025-05-20,50.0,93.0,9.6,95.0,288.0,59.0,2025-05-20,54.92307692307692,4.329386762994376,-1.1371303125784782,8.742857142857142,1.7328119813290082,0.4946542766200509,93.07142857142857,26.937147029889523,-1.2648491888774571,86.84615384615384,7.266890140059313,0.8468335195990636,93.5,2.7103789119153237,0.5534281547888837,367.14285714285717,88.27218147286271,-0.8965775607028342,False,False,False,False,False,False,False
2025-05-22,60.0,58.0,8.4,97.0,392.0,108.0,2025-05-22,55.53846153846154,4.446260312805791,1.0034361795436642,8.635714285714286,1.7018574209723567,-0.13850413249049404,93.92857142857143,27.22686536864267,0.516821469563467,83.6923076923077,9.953095124839383,-2.5813385052644415,93.85714285714286,2.8245392505723035,1.1126972805282624,369.7857142857143,88.43439860791071,0.25119507865685414,False,False,False,True,False,False,True
2025-05-23,54.0,75.0,15.4,97.0,428.0,121.0,2025-05-23,55.15384615384615,4.336783636255497,-0.2660603457825295,9.25,2.397995958166865,2.564641520372426,93.5,26.70854084082748,1.02963318602425,83.38461538461539,10.169713709002622,-0.8244691664420212,94.0,2.935197542821648,1.022077715803774,367.14285714285717,85.88620122254532,0.7085788169795976,False,True,False,False,False,False,True
2025-05-24,79.0,34.0,4.3,80.0,336.0,105.0,2025-05-24,56.69230769230769,7.899204763609867,2.8240427961127934,9.071428571428571,2.6719133367534362,-1.7857722051816975,94.14285714285714,26.8810975704751,0.40389507268735275,79.92307692307692,17.090258133712375,-2.687090889077252,93.14285714285714,4.75325221226561,-2.7650241468236065,365.7857142857143,86.24221576594474,-0.345372785487685,True,False,False,True,True,False,True
2025-05-25,,,17.1,,,,2025-05-25,55.916666666666664,7.716079236754889,,9.65,3.4258631702883973,2.1746344292474595,95.0,27.778888866667472,,79.66666666666667,17.824055927228475,,93.6923076923077,4.460654200612006,,362.0769230769231,88.59407574104627,,False,True,False,False,False,False,True
2025-05-26,77.0,30.0,8.0,92.0,208.0,127.0,2025-05-26,58.0,9.685978619539826,1.9615983832207422,9.285714285714286,3.2996170273946235,-0.38965561004195876,97.6923076923077,29.127262760126136,1.006194524664129,74.91666666666667,22.637291571585333,-1.9841890768879233,93.23076923076923,4.284737373395926,-0.2872449635795913,348.53846153846155,97.92141014151382,-1.4352168880672627,False,False,False,False,False,False,False
2025-05-26,77.0,30.0,8.0,96.0,294.0,127.0,2025-05-26,59.46153846153846,10.666266018116712,1.644292530176199,9.385714285714286,3.2324929990660447,-0.42868284204007767,98.61538461538461,29.90133347511008,0.9492759046429414,71.46153846153847,24.998717915843127,-1.658546594314019,93.23076923076923,4.284737373395926,0.6463011680540837,361.84615384615387,73.00781482581857,-0.9292998839647598,False,False,False,False,False,False,False
2025-05-27,52.0,102.0,15.7,96.0,355.0,127.0,2025-05-27,59.23076923076923,10.80242138098252,-0.6693655964484853,9.985714285714286,3.576817911723545,1.5975892134615812,104.23076923076923,27.589713802290554,0.8252797014277266,73.23076923076923,26.353854386515074,1.091651731366916,93.38461538461539,4.350066312492081,0.6012286773362548,355.6923076923077,69.62085967986964,-0.00994396931452794,False,False,False,False,False,False,False
2025-05-28,56.0,94.0,5.4,91.0,453.0,21.0,2025-05-28,59.30769230769231,10.773305090087405,-0.3070266997948232,9.85,3.7197497848025294,-1.1963170259948646,97.0,35.667445474363056,-2.130794594040301,74.38461538461539,26.949144889150176,0.7278666798545373,93.23076923076923,4.399883448339947,-0.507006437093438,361.61538461538464,74.5905919688026,1.2251493515809184,False,False,False,False,False,False,False
2025-05-29,52.0,88.0,6.5,94.0,375.0,46.0,2025-05-29,59.15384615384615,10.869269784167944,-0.6581717351671926,9.642857142857142,3.825966803047562,-0.8214543681753091,96.38461538461539,36.52975604795455,-1.3792759885522594,74.6923076923077,27.09054144710723,0.4912302079186875,93.23076923076923,4.399883448339947,0.17482980589429029,357.0,71.4621111732177,0.2518817273165863,False,False,False,False,False,False,False
2025-05-30,54.0,92.0,11.8,92.0,116.0,125.0,2025-05-30,59.15384615384615,10.869269784167944,-0.4741667339376549,9.814285714285715,3.8677875096468557,0.513397977722822,97.15384615384616,37.05591755227525,0.7514630775738024,75.3076923076923,27.40858933310447,0.6090173955850583,93.15384615384616,4.41297620369297,-0.26146666117994743,337.0,97.38326344911643,-2.269383795250139,False,False,False,False,False,True,True
2025-05-30,54.0,92.0,11.8,88.0,360.0,88.0,2025-05-30,59.15384615384615,10.869269784167944,-0.4741667339376549,10.028571428571428,3.8903091772384237,0.4553439047448766,94.76923076923077,36.526597264080095,-0.18532333357773706,75.07692307692308,27.241088874656278,0.6212334977116605,92.76923076923077,4.639573366770088,-1.0279459752462001,332.0769230769231,94.183740226628,0.2964744960848601,False,False,False,False,False,False,False
2025-05-31,,,20.5,,,,2025-05-31,59.583333333333336,11.236776740469312,,10.864285714285716,4.7645497233142695,2.0223766872584097,97.75,36.461997651352945,,73.41666666666667,27.75692651748332,,92.58333333333333,4.795041630937691,,335.75,97.39434835199172,,False,True,False,False,False,False,True
2025-06-01,83.0,22.0,15.6,96.0,141.0,127.0,2025-06-01,62.333333333333336,12.629930780299302,1.6363246185722096,11.292857142857143,4.909717880930603,0.8772689106785232,98.41666666666667,36.955644994637716,0.7734497216184641,67.5,30.622332907981914,-1.4858436859374657,92.83333333333333,4.895885718610925,0.6468015898796606,312.1666666666667,107.79090308499525,-1.5879509473234341,False,False,False,False,False,False,False
2025-06-01,83.0,22.0,15.6,75.0,261.0,125.0,2025-06-01,65.08333333333333,13.27648867416198,1.3495034045813008,11.721428571428572,5.011399093977738,0.7739498203670022,103.91666666666667,35.43613546889235,0.5949670598770951,61.583333333333336,32.072243262341146,-1.2341928504830102,91.16666666666667,7.030237721744779,-2.299590327744194,309.9166666666667,108.61981933107423,-0.45034752375685905,False,False,False,False,True,False,True
2025-06-02,53.0,101.0,4.9,97.0,323.0,127.0,2025-06-02,64.5,13.668144783334046,-0.8413724161030453,11.471428571428572,5.27044423341927,-1.246845290527867,105.5,36.05425205033498,0.5963235617808426,65.16666666666667,33.9808323867584,1.0545160555659845,91.16666666666667,7.030237721744779,0.8297490873303783,304.1666666666667,105.66571073078761,0.1782350509269407,False,False,False,False,False,False,False
2025-06-04,49.0,101.0,10.8,97.0,316.0,106.0,2025-06-04,64.08333333333333,14.087120702860812,-1.0707179736360324,11.142857142857142,5.148668877369297,-0.06659141440696491,104.25,35.72654984232815,0.04898317939244816,67.33333333333333,35.461460087186914,0.9493874923337197,91.16666666666667,7.030237721744779,0.8297490873303783,294.8333333333333,98.43210242537167,0.21503824611197989,False,False,False,False,False,False,False
2025-06-05,53.0,94.0,8.2,93.0,344.0,127.0,2025-06-05,61.916666666666664,13.574430062258669,-0.6568722683582788,11.421428571428573,4.846597310949766,-0.6646784052288602,106.08333333333333,36.32794650086473,0.5757734383959408,72.33333333333333,34.55255110521923,0.6270641667148531,92.25,6.092096220812469,0.12311033391721062,295.5,98.76280124161616,0.4910755809907437,False,False,False,False,False,False,False
2025-06-06,50.0,109.0,11.2,97.0,307.0,127.0,2025-06-06,61.0,13.41019512659431,-0.8202714349909381,11.0,4.5630623994789365,0.043830213679049754,107.6923076923077,35.261841073566046,0.547552019970003,75.15384615384616,34.6093584498137,0.9779480279946083,92.61538461538461,5.979666400093863,0.733254180291155,296.38461538461536,94.61196053841786,0.11219918237582857,False,False,False,False,False,False,False
2025-06-07,49.0,107.0,9.7,95.0,486.0,127.0,2025-06-07,58.84615384615385,12.86368372490399,-0.7654225692047893,11.12142857142857,4.499261233619544,-0.31592488135770386,107.6923076923077,35.261841073566046,0.547552019970003,81.07692307692308,32.77819788228533,0.7908633969498,92.84615384615384,6.011740649847344,0.35827329874931535,317.7692307692308,103.92878478887523,1.618711982176251,False,False,False,False,False,False,False
2025-06-08,68.0,43.0,5.8,90.0,54.0,116.0,2025-06-08,58.15384615384615,12.01974870678917,0.819164700223092,10.964285714285714,4.652477775395543,-1.1100076053230923,106.84615384615384,34.88993683438945,0.26236350605323033,82.07692307692308,31.252897301587705,-1.2503456143548617,92.38461538461539,5.979666400093857,-0.3987873612109796,299.3076923076923,127.21136257909838,-1.928347337331311,False,False,False,False,False,False,False
2025-06-08,68.0,43.0,5.8,96.0,318.0,77.0,2025-06-08,59.38461538461539,12.155509460997962,0.7087637620642594,10.257142857142858,4.629622726897581,-0.9627442925850882,103.0,35.237290853109876,-0.737854680951029,77.53846153846153,32.382133408757404,-1.0665900576248313,92.38461538461539,5.979666400093857,0.6046130960295488,296.46153846153845,126.2719389417246,0.17057203460225395,False,False,False,False,False,False,False
2025-06-09,50.0,129.0,8.9,95.0,276.0,116.0,2025-06-09,58.92307692307692,12.406057246774948,-0.7192516321328877,10.507142857142856,4.437682050127294,-0.36215818055210947,110.3076923076923,25.25003173392254,0.22543764508067035,80.23076923076923,35.197428519125836,1.3855907326505454,92.6923076923077,6.0053395044829765,0.38427341301347206,282.84615384615387,117.20341729506485,-0.05841257878102964,False,False,False,False,False,False,False
